Issuer,Card,Annual Fees,Base (%),Dining (%),Drugstore (%),Travel (%),Online Grocery (%),Entertainment (%),Streaming (%),Rotating Categories (%),Gas (%),Grocery (%),Online Retail (%),Transit (%),Flights Direct From Airline (%),Custom Spend Category (%),Top Spend Category (%),Rating
Chase,Freedom Rise,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.8
Chase,Freedom Unlimited,0,1.5,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5
Chase,Freedom Flex,0,1,3,3,1,1,1,1,5,1,1,1,1,1,1,1,5
Chase,Sapphire Preferred,95,1,3,1,2,3,1,3,1,1,1,1,1,1,1,1,5
Chase,Sapphire Reserve,550,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,5
Capital One,Quicksilver,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.6
Capital One,Savor One,0,1,3,1,1,1,3,3,1,1,3,1,1,1,1,1,4.8
Capital One,Venture One,0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,3.8
Capital One,Venture,95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.7
Capital One,Venture X,395,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.9
American Express,Blue Cash Everyday,0,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,4.9
American Express,Blue Cash Preferred,95,1,1,1,1,1,1,6,1,3,6,1,3,1,1,1,5
American Express,Green,150,1,3,1,3,1,1,1,1,1,1,1,3,1,1,1,4
American Express,Gold,250,1,4,1,1,1,1,1,1,1,4,1,1,3,1,1,4.6
American Express,Platinum,695,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5
Bank of America,Customized Cash Rewards,0,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,4
Discover it,Cash Back,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4.9
Citi,Double Cash,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.9
Citi,Custom Cash,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4.7
Citi,Rewards+,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3.3
Citi,Premier,95,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,4.9